                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6617,                 1.3848,                 1.4694,                0.52069,                0.46677,                0.46887,                0.20716,                 1.8797,                 1.5652,                 1.6134,              0.0096733,              0.0096733,              0.0096733
                     36,                 1.6569,                 1.3835,                  1.458,                 0.5768,                0.49028,                0.51526,                0.23799,                 1.8633,                  1.496,                 1.5987,              0.0096634,              0.0096634,              0.0096634
                     37,                 1.6472,                 1.3789,                 1.4486,                0.53211,                0.51426,                0.50298,                0.23752,                 1.8502,                 1.5197,                 1.5892,              0.0096535,              0.0096535,              0.0096535
                     38,                 1.6347,                 1.3556,                 1.4468,                0.58937,                0.50595,                0.54591,                 0.2537,                 1.8649,                  1.503,                 1.5787,              0.0096436,              0.0096436,              0.0096436
                     39,                 1.6181,                 1.3273,                 1.4299,                0.52694,                0.51864,                0.52525,                0.25334,                 1.8104,                 1.4591,                 1.5757,              0.0096337,              0.0096337,              0.0096337
                     40,                  1.615,                 1.3267,                 1.4319,                0.54729,                0.49757,                0.50816,                0.24626,                 1.8324,                 1.4529,                 1.5635,              0.0096238,              0.0096238,              0.0096238
                     41,                 1.6037,                 1.3114,                 1.4195,                0.50138,                0.48784,                 0.4782,                0.22663,                 1.8378,                 1.5426,                 1.5703,              0.0096139,              0.0096139,              0.0096139
                     42,                 1.5944,                 1.3125,                  1.418,                0.52571,                0.47893,                0.49674,                0.24169,                 1.8388,                 1.5116,                 1.5717,               0.009604,               0.009604,               0.009604
                     43,                 1.5956,                 1.3054,                 1.4147,                0.57965,                0.52074,                0.55458,                0.26183,                 1.8031,                 1.4351,                 1.5586,              0.0095941,              0.0095941,              0.0095941
                     44,                 1.5858,                 1.2842,                 1.4042,                0.60769,                0.49834,                0.54106,                0.25113,                 1.8252,                 1.4529,                 1.5671,              0.0095842,              0.0095842,              0.0095842
                     45,                 1.5911,                 1.2843,                 1.4096,                0.64783,                0.45138,                0.53476,                0.25105,                 1.8773,                 1.4815,                  1.575,              0.0095743,              0.0095743,              0.0095743
                     46,                 1.5776,                 1.2667,                 1.3986,                0.55323,                0.52026,                0.53713,                0.25239,                 1.8601,                 1.4268,                 1.6078,              0.0095644,              0.0095644,              0.0095644
                     47,                 1.5711,                 1.2602,                 1.3956,                0.62404,                0.52728,                0.56086,                0.26456,                 1.7996,                  1.403,                 1.5682,              0.0095545,              0.0095545,              0.0095545
                     48,                 1.5639,                 1.2574,                 1.3955,                0.55656,                0.51466,                0.52543,                0.24965,                 1.8357,                 1.4549,                 1.5692,              0.0095446,              0.0095446,              0.0095446
                     49,                 1.5525,                  1.231,                 1.3838,                0.62858,                0.51378,                0.55858,                0.26526,                 1.7933,                 1.4003,                 1.5293,              0.0095347,              0.0095347,              0.0095347
                     50,                 1.5457,                 1.2308,                 1.3786,                0.58477,                0.47731,                0.51996,                0.25888,                  1.796,                 1.4824,                 1.5352,              0.0095248,              0.0095248,              0.0095248
                     51,                 1.5329,                 1.2164,                 1.3696,                0.59513,                0.53566,                0.57027,                0.26909,                 1.7776,                 1.3708,                 1.5091,              0.0095149,              0.0095149,              0.0095149
                     52,                 1.5441,                 1.2184,                 1.3731,                0.58035,                0.51552,                0.55522,                0.26435,                 1.7909,                 1.4099,                  1.538,               0.009505,               0.009505,               0.009505
                     53,                 1.5342,                 1.2101,                 1.3699,                0.61972,                0.52165,                0.56275,                0.27623,                 1.7666,                 1.4031,                 1.5023,              0.0094951,              0.0094951,              0.0094951
                     54,                  1.517,                 1.1856,                 1.3555,                0.61307,                  0.529,                0.58129,                 0.2806,                 1.7709,                 1.3711,                 1.5062,              0.0094852,              0.0094852,              0.0094852
                     55,                 1.5147,                 1.1866,                 1.3525,                0.62525,                0.50729,                0.55814,                0.27441,                 1.7817,                 1.4222,                 1.5149,              0.0094753,              0.0094753,              0.0094753
                     56,                 1.5148,                 1.1787,                 1.3553,                0.59775,                0.55916,                0.57743,                0.28551,                 1.7519,                 1.3317,                 1.5005,              0.0094654,              0.0094654,              0.0094654
                     57,                 1.5049,                 1.1791,                 1.3489,                0.62736,                0.52935,                0.58271,                0.29115,                 1.7337,                 1.3362,                  1.495,              0.0094555,              0.0094555,              0.0094555
                     58,                 1.5095,                   1.17,                 1.3505,                0.64985,                0.51588,                 0.5915,                0.28997,                 1.7621,                 1.3439,                 1.5011,              0.0094456,              0.0094456,              0.0094456
                     59,                 1.4945,                 1.1726,                  1.339,                0.62616,                 0.5538,                0.59537,                0.29208,                 1.7522,                 1.3258,                 1.5075,              0.0094357,              0.0094357,              0.0094357
                     60,                 1.4763,                 1.1485,                 1.3291,                0.62178,                 0.5209,                0.57471,                0.28324,                 1.7671,                 1.3879,                 1.5042,              0.0094258,              0.0094258,              0.0094258
                     61,                 1.4876,                 1.1473,                 1.3396,                0.63964,                0.51945,                0.58421,                0.29281,                 1.7655,                 1.3099,                  1.513,              0.0094159,              0.0094159,              0.0094159
                     62,                 1.4807,                 1.1443,                 1.3303,                0.64888,                 0.4972,                0.58602,                0.30057,                 1.7407,                 1.3268,                  1.486,               0.009406,               0.009406,               0.009406
                     63,                 1.4813,                 1.1453,                  1.329,                0.64594,                0.52512,                0.59101,                0.29253,                 1.7451,                 1.3014,                 1.4929,              0.0093961,              0.0093961,              0.0093961
                     64,                 1.4812,                 1.1332,                  1.329,                0.64984,                0.54376,                0.60256,                 0.3014,                 1.7222,                 1.3231,                 1.4615,              0.0093862,              0.0093862,              0.0093862
                     65,                 1.4891,                 1.1537,                 1.3348,                0.61113,                0.52852,                0.57268,                0.29223,                 1.7242,                    1.3,                 1.4823,              0.0093763,              0.0093763,              0.0093763
                     66,                 1.4748,                 1.1286,                 1.3287,                0.63821,                0.57293,                0.61144,                0.30703,                 1.7219,                 1.2564,                 1.4604,              0.0093664,              0.0093664,              0.0093664
                     67,                 1.4549,                 1.1079,                 1.3137,                0.66571,                0.53485,                0.59865,                0.29514,                 1.7374,                 1.3158,                 1.4695,              0.0093565,              0.0093565,              0.0093565
                     68,                 1.4735,                 1.1146,                 1.3209,                0.63131,                0.55267,                0.58982,                0.29595,                 1.7257,                 1.2936,                  1.479,              0.0093466,              0.0093466,              0.0093466
                     69,                 1.4616,                 1.1133,                 1.3167,                0.70294,                 0.5316,                 0.6207,                0.31041,                 1.7303,                   1.29,                 1.4766,              0.0093367,              0.0093367,              0.0093367
                     70,                 1.4614,                 1.1105,                 1.3149,                0.67449,                0.56645,                0.63476,                0.31775,                 1.7119,                  1.263,                 1.4646,              0.0093268,              0.0093268,              0.0093268
                     71,                 1.4366,                 1.0931,                 1.3011,                0.61514,                0.52998,                0.56346,                0.28288,                 1.7405,                 1.3418,                 1.4849,              0.0093169,              0.0093169,              0.0093169
                     72,                 1.4316,                 1.0791,                 1.2934,                0.67178,                0.56807,                 0.6289,                 0.3224,                 1.6959,                 1.2364,                 1.4611,               0.009307,               0.009307,               0.009307
                     73,                  1.435,                 1.0793,                 1.2972,                0.63376,                0.52866,                0.57911,                 0.2916,                 1.7552,                 1.3088,                 1.4944,              0.0092971,              0.0092971,              0.0092971
                     74,                 1.4294,                 1.0765,                 1.2946,                0.64527,                 0.5749,                0.61895,                0.31217,                 1.7031,                 1.2568,                 1.4564,              0.0092872,              0.0092872,              0.0092872
                     75,                 1.4134,                 1.0665,                 1.2834,                0.63586,                0.58347,                0.61964,                 0.3192,                 1.7072,                  1.237,                 1.4524,              0.0092773,              0.0092773,              0.0092773
                     76,                 1.4134,                 1.0634,                 1.2785,                0.67556,                0.56645,                0.61631,                0.32272,                 1.7025,                 1.2431,                 1.4584,              0.0092674,              0.0092674,              0.0092674
                     77,                 1.4227,                  1.058,                 1.2885,                0.67445,                0.55673,                0.62237,                0.32489,                 1.6816,                 1.2555,                 1.4292,              0.0092575,              0.0092575,              0.0092575
                     78,                 1.4164,                 1.0553,                 1.2872,                0.64547,                0.59752,                 0.6284,                0.31709,                 1.7067,                 1.2285,                   1.46,              0.0092476,              0.0092476,              0.0092476
                     79,                 1.4084,                 1.0476,                 1.2822,                0.63378,                0.59887,                0.63502,                0.32948,                 1.6802,                 1.2161,                 1.4447,              0.0092377,              0.0092377,              0.0092377
                     80,                 1.4018,                 1.0378,                 1.2711,                0.69449,                0.58185,                0.64847,                0.33793,                 1.6769,                 1.2138,                 1.4393,              0.0092278,              0.0092278,              0.0092278
                     81,                 1.3995,                 1.0341,                 1.2702,                0.68358,                0.58122,                0.63279,                0.32528,                 1.6889,                 1.2213,                 1.4406,              0.0092179,              0.0092179,              0.0092179
                     82,                  1.413,                 1.0509,                 1.2781,                0.65921,                 0.5705,                0.62985,                0.31998,                 1.7013,                 1.2191,                 1.4509,               0.009208,               0.009208,               0.009208
                     83,                 1.3967,                 1.0441,                 1.2753,                0.66265,                0.59643,                0.63572,                0.33369,                 1.6366,                 1.1984,                 1.4046,              0.0091981,              0.0091981,              0.0091981
                     84,                 1.3884,                 1.0187,                 1.2674,                0.67727,                0.55673,                0.63497,                 0.3348,                 1.6673,                  1.211,                 1.4263,              0.0091882,              0.0091882,              0.0091882
                     85,                 1.3927,                 1.0249,                 1.2669,                0.67056,                0.56159,                0.62869,                0.33124,                 1.6536,                 1.2167,                 1.4127,              0.0091783,              0.0091783,              0.0091783
                     86,                 1.3931,                 1.0283,                 1.2698,                0.66792,                0.60616,                0.64128,                0.33116,                 1.6939,                 1.1949,                 1.4481,              0.0091684,              0.0091684,              0.0091684
                     87,                 1.3804,                 1.0231,                 1.2589,                0.68907,                0.60454,                0.65544,                0.34362,                  1.657,                 1.1624,                 1.4222,              0.0091585,              0.0091585,              0.0091585
                     88,                 1.3834,                 1.0188,                 1.2607,                0.67137,                0.58773,                0.64518,                0.33952,                 1.6371,                 1.1887,                 1.4115,              0.0091486,              0.0091486,              0.0091486
                     89,                 1.3698,                 1.0092,                  1.256,                 0.6799,                0.60072,                 0.6464,                0.34347,                 1.6416,                 1.1567,                 1.4144,              0.0091387,              0.0091387,              0.0091387
                     90,                 1.3658,                  1.005,                 1.2506,                0.65912,                0.57942,                0.62314,                0.33052,                  1.658,                 1.1949,                 1.4155,              0.0091288,              0.0091288,              0.0091288
                     91,                 1.3732,                 1.0053,                 1.2578,                0.65321,                0.60373,                0.64056,                0.33909,                 1.6555,                  1.185,                 1.4104,              0.0091189,              0.0091189,              0.0091189
                     92,                   1.37,                  1.009,                  1.251,                0.66893,                0.60292,                0.65588,                0.34461,                 1.6321,                  1.156,                 1.3932,               0.009109,               0.009109,               0.009109
                     93,                 1.3579,                 1.0009,                 1.2448,                0.68646,                0.59238,                0.64639,                0.34376,                 1.6465,                 1.1859,                 1.4139,              0.0090991,              0.0090991,              0.0090991
                     94,                 1.3677,                 1.0004,                 1.2515,                  0.644,                0.61021,                 0.6469,                0.34401,                 1.6549,                 1.1741,                 1.4065,              0.0090892,              0.0090892,              0.0090892
                     95,                 1.3582,                0.98192,                 1.2443,                0.72966,                0.54538,                0.64036,                 0.3408,                 1.6589,                 1.2108,                 1.4098,              0.0090793,              0.0090793,              0.0090793
                     96,                 1.3657,                0.99656,                 1.2457,                0.65065,                0.60069,                0.64632,                0.34289,                 1.6463,                 1.1754,                 1.4117,              0.0090694,              0.0090694,              0.0090694
                     97,                 1.3519,                0.99139,                 1.2426,                0.71399,                  0.594,                0.66114,                0.34804,                 1.6442,                 1.1513,                 1.4064,              0.0090595,              0.0090595,              0.0090595
                     98,                 1.3529,                0.97722,                 1.2359,                0.71844,                0.60793,                0.66793,                0.35464,                 1.6285,                  1.139,                 1.4002,              0.0090496,              0.0090496,              0.0090496
